lonxa,fecha,ingresos_real,ingresos_predicho,ingresos_lower,ingresos_upper,error_absoluto,error_pct,modelo,fecha_ejecucion
Burela,2025-03-01,4981833.34,5301138.476193603,4757795.482533269,5797664.646487598,319305.1361936033,6.409390166263637,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
Burela,2025-04-01,4773006.22,5306326.340276658,4752693.322280941,5875390.6211836785,533320.1202766579,11.173673272033948,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
Burela,2025-05-01,3452607.91,3448042.3430890613,2909202.311782446,3954622.080321271,4565.5669109388255,0.13223531399888455,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
Burela,2025-06-01,4290446.42,3899056.332889583,3378311.7455871874,4426376.601426288,391390.08711041696,9.122362775256775,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
Burela,2025-07-01,6730366.78,6081260.020388031,5543717.4902778445,6590777.475480739,649106.7596119689,9.644448524571626,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
Burela,2025-08-01,6197822.91,6010412.089062565,5433530.389980976,6551101.578519919,187410.82093743514,3.023816970230844,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
Burela,2025-09-01,4892652.41,5164127.486595402,4635947.702078294,5728875.614785165,271475.0765954014,5.548627898449082,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
Burela,2025-10-01,4689458.1,4599337.676839843,4080184.1900152015,5143265.138028435,90120.42316015624,1.9217662518438163,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
Burela,2025-11-01,4242874.6,4440722.52652435,3913388.699642145,5000148.897702758,197847.92652435042,4.663063257263141,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
Burela,2025-12-01,5059188.67,5647295.734630899,5127872.171429803,6161227.462859636,588107.0646308986,11.624533161181724,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
Celeiro,2024-01-01,4401253.88,4179989.9574043984,3889240.3700494594,4495334.2341592265,221263.92259560153,5.027292872175816,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
Celeiro,2024-02-01,3830938.66,3337625.1375207757,3012448.8038558736,3647506.073013887,493313.5224792245,12.877092698717982,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
Celeiro,2024-03-01,4809745.98,4928527.752887096,4610953.831893312,5236256.200933814,118781.77288709581,2.469605949690836,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
Celeiro,2024-04-01,4265481.85,4789688.659465448,4490454.049097624,5083936.081134788,524206.8094654484,12.289509788101629,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
Celeiro,2024-05-01,3272242.53,3275262.674589817,2967569.9756144956,3570654.6908470877,3020.1445898171514,0.09229586627911568,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
Celeiro,2024-06-01,3236389.32,3142195.518547591,2858539.450808973,3464992.2428554166,94193.80145240901,2.910459531871432,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
Celeiro,2024-07-01,3847798.82,3533271.0141436104,3233203.2902292865,3832999.9269681345,314527.80585638946,8.174226891009583,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
Celeiro,2024-08-01,3237263.91,3445079.279421488,3156605.97207645,3750465.956283529,207815.36942148767,6.419475680667866,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
Celeiro,2024-09-01,4173663.59,4093757.1339100385,3779909.2852127305,4401569.181822537,79906.45608996134,1.914539932768308,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
Celeiro,2024-10-01,4269000.21,4256353.109562552,3945507.6045474866,4570803.2274818495,12647.10043744836,0.29625438780309543,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
Celeiro,2024-11-01,3427446.12,3876345.380344984,3554005.0929523264,4183785.563779204,448899.260344984,13.097193788854774,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
Celeiro,2024-12-01,4074568.83,4262527.733706986,3950641.4824680765,4579418.250454236,187958.90370698553,4.612976527064473,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
Celeiro,2025-01-01,4276592.67,3886757.226381913,3610882.12382843,4186093.201786975,389835.4436180871,9.115561702959358,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
Celeiro,2025-02-01,3865014.04,3173913.1941628815,2873650.0368172247,3475772.775330466,691100.8458371186,17.88094011262941,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
Celeiro,2025-03-01,4435418.37,4795601.735562264,4513249.31024393,5115576.708252534,360183.3655622639,8.120617617459699,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
Celeiro,2025-04-01,3857023.61,4608724.331041942,4301669.1418934725,4926458.6485447325,751700.7210419425,19.48913973699898,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
Celeiro,2025-05-01,3406964.21,3105627.5164619586,2764639.9077947596,3417262.920599137,301336.6935380413,8.844727298677475,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
Celeiro,2025-06-01,3104357.1,3045392.5895090816,2740913.1568649877,3348049.6104922015,58964.51049091853,1.899411330317589,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
Celeiro,2025-07-01,3542470.5,3453794.7351922323,3165154.613832834,3750628.657941264,88675.7648077677,2.503218158281564,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
Celeiro,2025-08-01,3440144.89,3410664.12728753,3096956.8388422467,3714370.6904730783,29480.762712470256,0.8569628214836688,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
Celeiro,2025-09-01,4427719.98,4145278.617021377,3834139.352941504,4462617.298052353,282441.36297862325,6.378934626724593,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
Celeiro,2025-10-01,4648495.75,4515280.666634294,4223177.180041357,4827661.888085048,133215.0833657058,2.8657675628875383,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
Celeiro,2025-11-01,3251160.81,4030291.366050446,3727289.5131209837,4333815.202547161,779130.5560504459,23.96468835543222,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
Celeiro,2025-12-01,4773659.8,4540317.85872103,4227896.752269846,4841805.878906484,233341.94127896987,4.888114173510435,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
Ribeira,2024-01-01,2962992.95,2671102.7684751656,2374368.6998037323,2982224.526601265,291890.1815248346,9.851193926223639,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
Ribeira,2024-02-01,2780474.93,2559870.8849876667,2254893.7883869754,2839055.5897826897,220604.04501233343,7.934041865730233,Prophet_v2_por_lonxa,2026-06-10 08:06:30.523451
