lonxa,fecha,ingresos_real,ingresos_predicho,error_absoluto,error_pct,modelo,fecha_ejecucion
Ribeira,2024-07-01,3831326.94,4101966.0,270639.06000000006,7.063846657784836,XGBoost_por_lonxa,2026-06-10 08:07:50.310831
Ribeira,2024-08-01,3882504.84,4140553.5,258048.66000000015,6.646447863797129,XGBoost_por_lonxa,2026-06-10 08:07:50.310831
Ribeira,2024-09-01,3707620.19,4225056.5,517436.31000000006,13.956022555805536,XGBoost_por_lonxa,2026-06-10 08:07:50.310831
Ribeira,2024-10-01,3937166.89,3967170.5,30003.60999999987,0.762060914313944,XGBoost_por_lonxa,2026-06-10 08:07:50.310831
Ribeira,2024-11-01,3377224.78,3764796.0,387571.2200000002,11.476026774859807,XGBoost_por_lonxa,2026-06-10 08:07:50.310831
Ribeira,2024-12-01,2412355.81,2907624.75,495268.93999999994,20.530509551988516,XGBoost_por_lonxa,2026-06-10 08:07:50.310831
Ribeira,2025-01-01,1692955.48,2116633.0,423677.52,25.025910309230344,XGBoost_por_lonxa,2026-06-10 08:07:50.310831
Ribeira,2025-02-01,2857875.71,2265182.25,592693.46,20.738951590025582,XGBoost_por_lonxa,2026-06-10 08:07:50.310831
Ribeira,2025-03-01,4285420.12,3069631.0,1215789.12,28.370360103690373,XGBoost_por_lonxa,2026-06-10 08:07:50.310831
Ribeira,2025-04-01,3639560.0,3597452.75,42107.25,1.1569324313928058,XGBoost_por_lonxa,2026-06-10 08:07:50.310831
Ribeira,2025-05-01,3586054.11,3849872.0,263817.89000000013,7.356773821798248,XGBoost_por_lonxa,2026-06-10 08:07:50.310831
Ribeira,2025-06-01,3760076.82,4031491.25,271414.43000000017,7.218321406529141,XGBoost_por_lonxa,2026-06-10 08:07:50.310831
Ribeira,2025-07-01,4706299.66,4259766.0,446533.66000000015,9.487998900605495,XGBoost_por_lonxa,2026-06-10 08:07:50.310831
Ribeira,2025-08-01,4444984.28,4406599.0,38385.28000000026,0.8635639089369346,XGBoost_por_lonxa,2026-06-10 08:07:50.310831
Ribeira,2025-09-01,4924613.8,4082362.75,842251.0499999998,17.10288530645794,XGBoost_por_lonxa,2026-06-10 08:07:50.310831
Ribeira,2025-10-01,3909777.29,3988375.25,78597.95999999996,2.0102925095255224,XGBoost_por_lonxa,2026-06-10 08:07:50.310831
Ribeira,2025-11-01,2902568.6,3960963.25,1058394.65,36.464070134294154,XGBoost_por_lonxa,2026-06-10 08:07:50.310831
Ribeira,2025-12-01,2863898.68,2747657.75,116240.93000000017,4.058835279745307,XGBoost_por_lonxa,2026-06-10 08:07:50.310831
Vigo,2024-01-01,7487322.45,7035439.5,451882.9500000002,6.035307722054901,XGBoost_por_lonxa,2026-06-10 08:07:50.310831
Vigo,2024-02-01,6770496.38,7045281.0,274784.6200000001,4.058559440511806,XGBoost_por_lonxa,2026-06-10 08:07:50.310831
Vigo,2024-03-01,6708263.86,7005174.5,296910.63999999966,4.426042955322864,XGBoost_por_lonxa,2026-06-10 08:07:50.310831
Vigo,2024-04-01,8014364.56,7157977.5,856387.0599999996,10.685651414888964,XGBoost_por_lonxa,2026-06-10 08:07:50.310831
Vigo,2024-05-01,6551873.9,7119085.5,567211.5999999996,8.657242319636213,XGBoost_por_lonxa,2026-06-10 08:07:50.310831
Vigo,2024-06-01,5916923.61,6169559.5,252635.88999999966,4.269716945018995,XGBoost_por_lonxa,2026-06-10 08:07:50.310831
Vigo,2024-07-01,7285405.84,6838695.5,446710.33999999985,6.131577976718451,XGBoost_por_lonxa,2026-06-10 08:07:50.310831
Vigo,2024-08-01,6734501.53,6889694.0,155192.46999999974,2.3044388557737805,XGBoost_por_lonxa,2026-06-10 08:07:50.310831
Vigo,2024-09-01,6890562.42,7046272.0,155709.58000000007,2.259751389060054,XGBoost_por_lonxa,2026-06-10 08:07:50.310831
Vigo,2024-10-01,6983682.78,6841105.5,142577.28000000026,2.041577266486326,XGBoost_por_lonxa,2026-06-10 08:07:50.310831
Vigo,2024-11-01,7104429.72,7855186.5,750756.7800000003,10.567446080668672,XGBoost_por_lonxa,2026-06-10 08:07:50.310831
Vigo,2024-12-01,8749141.98,8416194.0,332947.98000000045,3.8054929358913023,XGBoost_por_lonxa,2026-06-10 08:07:50.310831
Vigo,2025-01-01,6362503.5,7208063.0,845559.5,13.289729428046678,XGBoost_por_lonxa,2026-06-10 08:07:50.310831
Vigo,2025-02-01,6991923.71,7014024.0,22100.290000000037,0.31608311126724287,XGBoost_por_lonxa,2026-06-10 08:07:50.310831
Vigo,2025-03-01,7673089.69,7177166.0,495923.6900000004,6.463155130928756,XGBoost_por_lonxa,2026-06-10 08:07:50.310831
Vigo,2025-04-01,6267855.62,6283758.0,15902.379999999888,0.2537132468281056,XGBoost_por_lonxa,2026-06-10 08:07:50.310831
Vigo,2025-05-01,5840783.31,6265118.0,424334.6900000004,7.265030518654876,XGBoost_por_lonxa,2026-06-10 08:07:50.310831
Vigo,2025-06-01,5228866.61,6066040.5,837173.8899999997,16.010618599429133,XGBoost_por_lonxa,2026-06-10 08:07:50.310831
Vigo,2025-07-01,7329682.29,6781237.5,548444.79,7.48251790869915,XGBoost_por_lonxa,2026-06-10 08:07:50.310831
Vigo,2025-08-01,6256447.34,6886826.0,630378.6600000001,10.075664762168369,XGBoost_por_lonxa,2026-06-10 08:07:50.310831
Vigo,2025-09-01,7218213.37,6948632.0,269581.3700000001,3.7347381710884515,XGBoost_por_lonxa,2026-06-10 08:07:50.310831
Vigo,2025-10-01,8062211.52,7454838.5,607373.0199999996,7.533578330130436,XGBoost_por_lonxa,2026-06-10 08:07:50.310831
Vigo,2025-11-01,6500983.94,7733874.0,1232890.0599999996,18.964668600611855,XGBoost_por_lonxa,2026-06-10 08:07:50.310831
Vigo,2025-12-01,8401779.81,8720013.0,318233.1899999995,3.787687813732403,XGBoost_por_lonxa,2026-06-10 08:07:50.310831
